dataset,label_raw,working_class,cl_term,n_cells,action,drop_reason
NSCLC_GSE127465,Neutrophils,Neutrophil,CL:0000775,3345,map,
NSCLC_GSE127465,Plasma,Plasma,CL:0000786,1140,map,
NSCLC_GSE131907,B,B,CL:0000236,20287,map,
NSCLC_GSE131907,CD4Tconv,CD4_T,CL:0000624,42763,map,
NSCLC_GSE131907,CD8T,CD8_T,CL:0000625,34523,map,
NSCLC_GSE131907,CD8Tex,CD8_T,CL:0000625,12305,map,
NSCLC_GSE131907,DC,DC,CL:0000451,15085,map,
NSCLC_GSE131907,Endothelial,Endothelial,CL:0000115,2267,map,
NSCLC_GSE131907,Epithelial,Epithelial,CL:0000066,36145,map,
NSCLC_GSE131907,Fibroblasts,Fibroblast,CL:0000057,4125,map,
NSCLC_GSE131907,Mast,Mast,CL:0000097,3421,map,
NSCLC_GSE131907,Mono/Macro,Mono_Macro,CL:0000576,26692,map,
NSCLC_GSE131907,Oligodendrocyte,,,718,drop,"non-TME resident cell type, not part of the immune question"
NSCLC_GSE131907,Plasma,Plasma,CL:0000786,4967,map,
PAAD_GSE111672,Acinar,,,16,drop,"tissue parenchyma, not part of the immune question"
PAAD_GSE111672,CD8T,CD8_T,CL:0000625,88,map,
PAAD_GSE111672,Ductal,,,2916,drop,"tissue parenchyma, not part of the immune question"
PAAD_GSE111672,Endothelial,Endothelial,CL:0000115,191,map,
PAAD_GSE111672,Fibroblasts,Fibroblast,CL:0000057,39,map,
PAAD_GSE111672,Malignant,Malignant,CL:0001064,1489,map,
PAAD_GSE111672,Mast,Mast,CL:0000097,177,map,
PAAD_GSE111672,Mono/Macro,Mono_Macro,CL:0000576,210,map,
PAAD_GSE111672,Neutrophils,Neutrophil,CL:0000775,69,map,
PAAD_GSE111672,Others,,,342,drop,unspecified by the original authors
PAAD_GSE111672,Tprolif,,,585,drop,proliferating compartment spans multiple identities
PAAD_GSE154778,CD8T,CD8_T,CL:0000625,421,map,
PAAD_GSE154778,Epithelial,Epithelial,CL:0000066,1069,map,
PAAD_GSE154778,Fibroblasts,Fibroblast,CL:0000057,2218,map,
PAAD_GSE154778,Malignant,Malignant,CL:0001064,9519,map,
PAAD_GSE154778,Mono/Macro,Mono_Macro,CL:0000576,1578,map,
PAAD_GSE154778,Plasma,Plasma,CL:0000786,148,map,
STAD_GSE134520,CD8T,CD8_T,CL:0000625,1374,map,
STAD_GSE134520,DC,DC,CL:0000451,361,map,
STAD_GSE134520,Fibroblasts,Fibroblast,CL:0000057,1260,map,
STAD_GSE134520,Gland mucous,,,5951,drop,"gastric gland epithelium -- tissue parenchyma, not part of the immune question"
STAD_GSE134520,Malignant,Malignant,CL:0001064,880,map,
STAD_GSE134520,Mast,Mast,CL:0000097,384,map,
STAD_GSE134520,Myofibroblasts,Fibroblast,CL:0000186,232,map,
STAD_GSE134520,Pit mucous,,,29070,drop,"gastric surface epithelium -- tissue parenchyma, not part of the immune question"
STAD_GSE134520,Plasma,Plasma,CL:0000786,2042,map,
